ZoneNumber,day_of_week,hour_of_day,avg_active_cars
0315,5,13,1
0315,5,15,1
0315,5,17,1
0315,5,20,2
0315,6,10,1
0315,6,11,1
0315,6,12,1
0315,6,14,1
0315,6,15,1
0315,6,20,1
0315,7,8,2
0315,7,9,3
0315,7,10,1
0315,7,11,1
0315,7,12,1
0315,7,13,2
0315,7,14,2
0315,7,15,1
0315,7,16,1
0315,7,17,1
0316,1,8,1
0316,1,9,1
0316,1,10,1.5
0316,1,11,1.5
0316,1,12,2
0316,1,13,2
0316,1,14,1
0316,1,16,1
0316,2,8,1
0316,2,9,1
0316,2,10,3
0316,2,11,1
0316,2,12,1
0316,2,13,2
0316,2,14,2.5
0316,2,15,2
0316,2,16,1
0316,3,8,1
0316,3,9,1.67
0316,3,10,1
0316,3,11,1.33
0316,3,12,1.67
0316,3,13,1.5
0316,3,14,1.5
0316,3,16,1
0316,4,8,2
0316,4,9,1.5
0316,4,10,1
0316,4,11,1
0316,4,12,1.67
0316,4,13,1
0316,4,14,1
0316,4,15,1
0316,4,16,3
0316,4,17,1
0316,5,8,1
0316,5,9,2
0316,5,10,1
0316,5,11,2
0316,5,12,1.67
0316,5,13,1.5
0316,5,14,1
0316,5,15,1
0316,5,16,1
0316,5,17,1
0316,5,19,1
0316,6,9,1
0316,6,10,2
0316,6,11,1
0316,6,13,1
0316,6,14,1
0316,7,8,1
0316,7,9,1
0316,7,10,1
0316,7,11,1
0316,7,12,1
0316,7,13,1
0319,1,8,2.25
0319,1,9,1.25
0319,1,10,1
0319,1,11,1
0319,1,12,2
0319,1,13,2
0319,1,14,1
0319,1,15,1
0319,1,20,1
0319,2,8,1.25
0319,2,9,2.33
0319,2,10,1
0319,2,11,1
0319,2,12,1.5
0319,2,13,1.5
0319,2,14,1
0319,2,15,1
0319,2,16,1
0319,3,8,1.75
0319,3,9,1.33
0319,3,10,1
0319,3,11,1
0319,3,12,1
